# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	1283
#@/user_id	945c0063-a64b-43b4-94e6-372738e7012b
a 	阿	c=1 d=1 t=829
xiao nv hai 	小女孩	c=1 d=1 t=1110
xiao shi de 	消失的	c=1 d=0.229925 t=1283
xiao xiao 	小小	c=1 d=0.310367 t=1283
xiao yang 	小羊	c=3 d=0.514274 t=1283
xie zai 	卸载	c=2 d=1.98511 t=1165
xin ku 	辛苦	c=0 d=0.0159614 t=1283
xin ku la 	辛苦啦	c=1 d=1 t=1245
xin ku lao po le 	辛苦老婆了	c=1 d=0.160414 t=1283
xin ling pai 	新凌派	c=0 d=0.0193013 t=1283
xin ling pai le 	新凌派了	c=1 d=0.19398 t=1283
xin pin 	新品	c=2 d=1.13965 t=1283
xin you xi 	新游戏	c=1 d=1 t=742
xing 	兴	c=2 d=0.411971 t=1283
xing 	行	c=1 d=0.715338 t=1283
xing 	醒	c=0 d=0.1 t=451
xing dong 	行动	c=1 d=1 t=693
xing lai 	醒来	c=1 d=1 t=700
xing lu gu 	星露谷	c=3 d=1.17892 t=1283
xing qi 	星期	c=4 d=2.77428 t=796
xing qi ji 	星期几	c=1 d=1 t=627
xiong di 	兄弟	c=1 d=0.278037 t=1283
xiong di men 	兄弟们	c=1 d=0.276651 t=1283
xiu 	秀	c=1 d=1 t=1024
xiu gai 	修改	c=1 d=1 t=504
xiu gou 	修狗	c=2 d=0.948236 t=1283
xiu xi 	休息	c=1 d=1 t=870
xuan 	轩	c=0 d=0.1 t=565
xuan xiang 	选项	c=2 d=1.91393 t=934
xuan ze 	选择	c=3 d=1.35238 t=1283
xue xi tong 	学习通	c=1 d=1 t=1214
xue xiao 	学校	c=1 d=0.486752 t=1283
xun fu 	驯服	c=5 d=1.45427 t=1283
xun fu de 	驯服的	c=1 d=1 t=886
